Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-40, 2, -22]","[-21, 33, -39]","[-14, 18, -18]","[-28, 3, -8]","[-12, -2, -24]","[-12, -25, -34]","[3, -25, -3]","[-8, -11, -15]",Evan_001_001
"[-43, 5, -32]","[-18, 36, -40]","[-15, 19, -22]","[-25, 3, -10]","[-17, -3, -24]","[-16, -30, -32]","[-1, -23, -7]","[-8, -12, -13]",Evan_001_001
"[-42, 5, -34]","[-22, 32, -41]","[-9, 20, -15]","[-23, 0, -10]","[-15, -3, -24]","[-15, -29, -25]","[0, -26, -6]","[-7, -11, -11]",Evan_001_001
"[-40, 3, -32]","[-21, 34, -41]","[-15, 18, -18]","[-23, 3, -5]","[-15, -1, -25]","[-9, -28, -25]","[0, -24, -5]","[-7, -12, -12]",Evan_001_001
"[-43, 4, -32]","[-17, 33, -43]","[-14, 15, -16]","[-27, 2, -7]","[-14, -5, -28]","[-15, -30, -29]","[1, -28, -5]","[-9, -9, -14]",Evan_001_001
"[-40, 3, -30]","[-23, 34, -43]","[-16, 19, -12]","[-30, 6, -4]","[-15, -3, -28]","[-16, -24, -32]","[-2, -24, -3]","[-7, -12, -13]",Evan_001_001
"[-37, 7, -25]","[-23, 34, -34]","[-12, 20, -14]","[-28, 4, -7]","[-15, -1, -25]","[-16, -26, -33]","[0, -24, -7]","[-8, -13, -13]",Evan_001_001
"[-40, 6, -29]","[-20, 36, -38]","[-14, 18, -15]","[-25, 6, -5]","[-13, -5, -28]","[-17, -26, -31]","[0, -29, -6]","[-12, -12, -14]",Evan_001_001
"[-38, 5, -25]","[-19, 36, -36]","[-16, 17, -15]","[-24, 6, -10]","[-13, -6, -29]","[-16, -31, -26]","[-2, -25, -1]","[-10, -10, -17]",Evan_001_001
"[-35, 4, -24]","[-17, 34, -40]","[-14, 20, -14]","[-23, 4, -5]","[-16, -6, -22]","[-15, -27, -33]","[-2, -28, -8]","[-9, -13, -10]",Evan_001_001
"[-37, 5, -27]","[-20, 39, -33]","[-14, 21, -12]","[-25, 6, -7]","[-13, -11, -23]","[-19, -29, -31]","[-1, -29, -12]","[-10, -11, -8]",Evan_001_001
"[-37, 7, -30]","[-20, 33, -39]","[-16, 20, -15]","[-22, 4, -8]","[-18, -7, -24]","[-18, -29, -24]","[0, -27, -8]","[-7, -14, -13]",Evan_001_001
"[-37, 7, -23]","[-21, 34, -39]","[-12, 19, -13]","[-24, 10, -7]","[-14, -11, -23]","[-15, -32, -24]","[0, -27, -7]","[-10, -16, -12]",Evan_001_001
"[-40, 8, -25]","[-18, 36, -39]","[-15, 22, -13]","[-25, 5, -7]","[-16, -10, -21]","[-16, -29, -31]","[-2, -29, -6]","[-11, -14, -7]",Evan_001_001
"[-37, 8, -23]","[-21, 35, -35]","[-14, 19, -13]","[-22, 6, -5]","[-16, -8, -23]","[-17, -29, -32]","[-1, -31, -3]","[-11, -17, -10]",Evan_001_001
"[-36, 8, -22]","[-22, 35, -36]","[-16, 21, -16]","[-25, 7, 2]","[-18, -6, -20]","[-17, -30, -28]","[-1, -29, -7]","[-10, -12, -13]",Evan_001_001
"[-34, 5, -25]","[-21, 36, -34]","[-15, 19, -16]","[-25, 7, -4]","[-17, -9, -19]","[-16, -30, -36]","[1, -28, -2]","[-10, -18, -10]",Evan_001_001
"[-40, 4, -23]","[-18, 37, -40]","[-18, 22, -7]","[-25, 7, -3]","[-16, -9, -23]","[-14, -28, -26]","[0, -33, -5]","[-9, -13, -11]",Evan_001_001
"[-40, 5, -23]","[-21, 36, -36]","[-15, 25, -5]","[-26, 5, -4]","[-16, -7, -15]","[-19, -26, -34]","[-3, -30, -2]","[-11, -17, -16]",Evan_001_001
"[-39, 5, -23]","[-23, 39, -30]","[-16, 18, -7]","[-26, 5, -1]","[-18, -9, -22]","[-16, -29, -31]","[-1, -29, -3]","[-12, -16, -13]",Evan_001_001
"[-38, 11, -22]","[-23, 35, -36]","[-13, 20, -12]","[-25, 8, -3]","[-18, -9, -22]","[-15, -30, -30]","[-3, -31, -3]","[-12, -18, -10]",Evan_001_001
"[-40, 5, -20]","[-26, 36, -33]","[-17, 22, -10]","[-29, 3, 1]","[-18, -8, -23]","[-16, -29, -25]","[-3, -30, -2]","[-13, -15, -9]",Evan_001_001
"[-42, 4, -20]","[-23, 36, -32]","[-14, 21, -2]","[-25, 6, -4]","[-19, -10, -24]","[-20, -30, -29]","[-2, -32, -6]","[-12, -17, -7]",Evan_001_001
"[-44, 8, -20]","[-22, 34, -30]","[-16, 19, -9]","[-26, 5, -1]","[-18, -9, -18]","[-19, -26, -26]","[-5, -31, -2]","[-9, -16, -8]",Evan_001_001
"[-40, 7, -13]","[-26, 35, -26]","[-16, 18, 0]","[-23, 4, 6]","[-20, -7, -24]","[-19, -27, -28]","[-4, -28, -8]","[-14, -18, -8]",Evan_001_001
"[-41, 5, -12]","[-25, 35, -25]","[-14, 18, 2]","[-25, 4, 5]","[-17, -10, -28]","[-18, -29, -21]","[-4, -31, -3]","[-9, -14, -11]",Evan_001_001
"[-41, 7, -20]","[-24, 36, -30]","[-17, 16, -6]","[-28, 3, 2]","[-16, -7, -18]","[-21, -29, -27]","[0, -27, -3]","[-12, -14, -7]",Evan_001_001
"[-42, 5, -19]","[-24, 32, -29]","[-16, 15, -5]","[-25, 4, -1]","[-16, -5, -16]","[-20, -29, -25]","[-4, -30, -3]","[-10, -14, -7]",Evan_001_001
"[-42, 1, -16]","[-24, 29, -33]","[-15, 17, -13]","[-28, 6, 2]","[-16, -4, -18]","[-16, -27, -24]","[-4, -25, -2]","[-11, -11, -7]",Evan_001_001
"[-43, 1, -24]","[-22, 29, -36]","[-15, 12, -11]","[-25, 2, -4]","[-19, -6, -17]","[-18, -28, -26]","[-2, -27, -2]","[-9, -12, -5]",Evan_001_001
"[-41, 0, -19]","[-23, 30, -37]","[-18, 16, -16]","[-25, 0, 1]","[-16, -5, -16]","[-19, -26, -30]","[-3, -26, -3]","[-10, -11, -10]",Evan_001_001
"[-39, 4, -16]","[-23, 31, -37]","[-18, 16, -7]","[-27, 2, 2]","[-16, -8, -20]","[-17, -28, -25]","[-2, -26, -3]","[-12, -12, -11]",Evan_001_001
"[-44, 3, -16]","[-27, 33, -32]","[-18, 15, -8]","[-26, 3, 3]","[-17, -5, -17]","[-19, -29, -28]","[-4, -29, -3]","[-13, -12, -5]",Evan_001_001
"[-26, 0, 15]","[-24, 7, 4]","[-14, -1, 9]","[-14, -7, 12]","[-11, -3, -17]","[-14, -18, -21]","[-1, -21, -3]","[-7, -9, -9]",Evan_001_001
"[-15, -6, 13]","[-16, -5, -7]","[-14, -2, -5]","[-10, -7, 8]","[-4, -4, -6]","[-9, -8, -4]","[-2, -10, 7]","[-5, -4, 0]",Evan_001_001
"[-7, -6, 6]","[-6, -9, -4]","[-12, -4, 0]","[-6, -5, 6]","[-1, 0, 2]","[-4, 0, 0]","[0, 0, 7]","[0, -1, 0]",Evan_001_001
"[-4, -5, 11]","[-16, -3, -1]","[-10, -2, 0]","[-9, -6, 3]","[-6, 3, -1]","[-6, -1, -6]","[1, -4, 2]","[-1, 0, 1]",Evan_001_001
"[-6, -3, 7]","[-6, 0, -1]","[-5, 0, -1]","[-4, -3, 1]","[-3, 3, -9]","[-4, -5, -6]","[0, -5, 8]","[-6, -1, -2]",Evan_001_001
"[-9, -3, 7]","[-11, 2, -2]","[-8, 0, 0]","[-3, -3, 3]","[-4, 4, -10]","[-6, -4, -10]","[0, -6, -2]","[-4, 0, 2]",Evan_001_001
"[-9, 0, 10]","[-11, 3, -6]","[-4, 0, 4]","[-4, -2, 5]","[-4, 1, -8]","[-4, -9, -11]","[0, -8, 0]","[-2, -2, -3]",Evan_001_001
"[-10, -1, 4]","[-11, 1, 2]","[-3, 0, 0]","[-5, -3, 5]","[-2, 0, -6]","[-4, -3, -18]","[0, -6, 1]","[-4, -5, -6]",Evan_001_001
"[-8, 0, 9]","[-8, 4, 0]","[-5, -2, 0]","[-6, -4, 13]","[-2, 3, -6]","[-3, -8, -10]","[1, -6, 3]","[-1, -4, -4]",Evan_001_001
"[-6, -1, 4]","[-7, 3, -2]","[-1, -5, 0]","[-3, -3, 3]","[1, 1, -6]","[-4, -9, -6]","[1, -7, 0]","[-3, -2, 2]",Evan_001_001
"[-8, -3, -5]","[-6, 6, -8]","[-6, 3, -5]","[-6, -1, -5]","[-4, 0, 0]","[-1, -7, -2]","[4, -6, 3]","[-2, -1, 3]",Evan_001_001
"[-2, -1, 1]","[-3, 1, 1]","[-3, -2, -3]","[-4, -3, -2]","[0, -3, -6]","[-1, -4, 0]","[3, -4, 3]","[0, -2, 0]",Evan_001_001
"[0, -2, 1]","[-1, 2, 5]","[-2, -2, 6]","[1, -4, 4]","[1, 0, -5]","[0, -5, 0]","[3, -4, 2]","[0, -1, 0]",Evan_001_001
"[-1, 2, 2]","[-1, 1, 10]","[1, -1, 8]","[0, -6, 9]","[0, 2, -7]","[0, -3, -8]","[7, -4, 2]","[1, -1, -1]",Evan_001_001
"[1, 0, 9]","[0, 2, 8]","[0, -4, 9]","[1, -4, 4]","[-2, 0, -5]","[2, -6, -4]","[8, -3, -2]","[1, -1, -4]",Evan_001_001
"[-1, 0, 7]","[-1, 2, 12]","[0, -4, 4]","[-1, -6, 6]","[0, 0, -4]","[-2, -3, -7]","[3, -5, -2]","[0, -1, 0]",Evan_001_001
"[0, 2, 10]","[-1, -1, 12]","[-1, -3, 6]","[1, -3, 8]","[0, 0, 2]","[3, -4, -4]","[5, -1, 3]","[1, -1, -4]",Evan_001_001
"[0, 0, 12]","[-5, -1, 9]","[2, -3, 7]","[-4, -4, 5]","[-1, 2, -10]","[0, -4, -8]","[2, -7, 0]","[-2, 1, -2]",Evan_001_001
"[-1, 0, 5]","[0, 3, 14]","[1, -4, 0]","[4, -2, 8]","[-5, 0, 0]","[-2, -10, -4]","[3, -5, -3]","[1, 0, 1]",Evan_001_001
"[-1, 1, 8]","[-2, 0, 10]","[-1, -2, 2]","[0, -4, 5]","[0, -1, -1]","[0, -8, -4]","[4, -4, 0]","[0, 0, -2]",Evan_001_001
"[-3, -2, 6]","[0, -2, 11]","[2, 0, 7]","[-1, -6, 3]","[1, -1, -3]","[0, -7, -1]","[5, -5, 7]","[2, -3, -4]",Evan_001_001
"[0, 0, 3]","[0, 0, 8]","[0, -5, -3]","[-3, -3, 5]","[2, -4, -2]","[0, -8, -2]","[8, -7, 3]","[0, -1, -4]",Evan_001_001
"[3, -2, 10]","[1, 1, 7]","[1, -8, 0]","[0, -1, 9]","[0, 0, -4]","[4, -8, 0]","[7, -4, 0]","[0, -2, 0]",Evan_001_001
"[1, 2, 6]","[1, 3, 12]","[5, -8, 6]","[4, -3, 8]","[2, 0, -6]","[2, -7, -6]","[4, -6, -3]","[0, 1, 0]",Evan_001_001
"[-1, 2, 11]","[3, 1, 12]","[5, -3, 4]","[0, -2, 12]","[0, 1, -3]","[2, -6, 0]","[5, -2, 0]","[4, -1, -3]",Evan_001_001
"[3, 2, 11]","[2, 1, 12]","[2, -4, 4]","[3, -2, 3]","[2, 0, -4]","[5, -3, -9]","[6, -4, 2]","[-1, -1, 2]",Evan_001_001
"[0, 1, 8]","[0, 1, 9]","[3, -5, 3]","[0, -4, 8]","[2, 0, -4]","[1, -5, -2]","[6, -6, 3]","[1, -1, 1]",Evan_001_001
"[-2, -2, 2]","[3, 0, 7]","[0, -1, -2]","[0, -3, 6]","[2, 0, -1]","[2, -9, 0]","[9, -5, 8]","[0, -1, -3]",Evan_001_001
"[-2, 1, 0]","[-2, 0, 0]","[0, -1, -3]","[0, -3, 3]","[0, 0, 0]","[2, -12, 0]","[9, -6, -1]","[2, -2, 1]",Evan_001_001
"[-4, 0, -2]","[1, 1, -3]","[0, 0, -6]","[-3, -4, -1]","[0, -2, -2]","[6, -6, 6]","[9, -6, 10]","[0, 0, 0]",Evan_001_001
"[0, 0, 3]","[0, 1, 4]","[2, 0, -2]","[-3, -3, 3]","[4, 0, -3]","[4, -4, 0]","[8, -2, 7]","[2, 0, -1]",Evan_001_001
"[1, 5, 15]","[1, 3, 13]","[1, -4, 4]","[1, -4, 4]","[2, 1, -6]","[2, -8, -4]","[4, -2, 0]","[0, 2, -1]",Evan_001_001
"[3, 5, 14]","[2, 0, 19]","[0, -5, 6]","[2, -2, 6]","[4, 1, -4]","[5, -2, -7]","[6, 0, -2]","[3, 2, -3]",Evan_001_001
"[2, 1, 13]","[2, -2, 20]","[3, -6, 13]","[5, -3, 11]","[0, 1, -3]","[4, -3, -4]","[5, -3, -1]","[-2, 1, -7]",Evan_001_001
"[0, 0, 27]","[-5, -2, 23]","[0, -9, 16]","[4, -5, 16]","[0, 4, -16]","[-4, -7, -22]","[4, -6, 0]","[-3, 0, -8]",Evan_001_001
"[-6, -2, 24]","[-14, -4, 9]","[-9, -10, 6]","[-2, -10, 18]","[-5, 0, -10]","[-9, -8, -19]","[-2, -11, -5]","[-5, -2, -7]",Evan_001_001
"[-28, -9, -16]","[-25, 7, -42]","[-18, 3, -24]","[-20, -6, -8]","[-14, -2, -7]","[-12, -15, -17]","[-1, -16, 0]","[-5, -11, -2]",Evan_001_001
"[-34, -5, -22]","[-21, 17, -49]","[-15, 10, -27]","[-30, -3, -10]","[-14, -3, -8]","[-15, -24, -20]","[0, -20, 2]","[-9, -9, -3]",Evan_001_001
"[-35, -4, -31]","[-21, 25, -48]","[-15, 12, -23]","[-26, 0, -9]","[-15, -3, -21]","[-12, -22, -22]","[-3, -24, -1]","[-8, -10, -10]",Evan_001_001
"[-36, 0, -27]","[-17, 25, -43]","[-16, 15, -19]","[-29, -1, -7]","[-16, -4, -19]","[-15, -22, -21]","[-1, -23, -2]","[-12, -13, -4]",Evan_001_001
"[-38, 3, -32]","[-18, 31, -38]","[-15, 18, -21]","[-29, -3, -9]","[-19, -1, -20]","[-16, -24, -21]","[-1, -24, -5]","[-8, -12, -7]",Evan_001_001
"[-38, 1, -29]","[-21, 33, -42]","[-14, 17, -15]","[-26, 0, -10]","[-15, -6, -19]","[-15, -24, -26]","[0, -23, -6]","[-9, -12, -3]",Evan_001_001
"[-37, 0, -30]","[-20, 35, -39]","[-15, 15, -19]","[-27, 2, -3]","[-15, -3, -20]","[-18, -28, -28]","[-3, -24, 0]","[-7, -10, -8]",Evan_001_001
"[-38, 1, -31]","[-22, 32, -46]","[-13, 18, -19]","[-27, 0, -7]","[-16, -5, -25]","[-15, -23, -23]","[-2, -25, -2]","[-11, -15, -7]",Evan_001_001
"[-36, -2, -26]","[-18, 28, -40]","[-16, 19, -20]","[-25, 2, -5]","[-17, -1, -16]","[-14, -23, -27]","[0, -24, 1]","[-8, -12, -2]",Evan_001_001
"[-37, 2, -32]","[-21, 30, -42]","[-12, 17, -19]","[-23, 2, -4]","[-14, 0, -21]","[-15, -25, -27]","[-1, -24, 0]","[-8, -7, -5]",Evan_001_001
"[-34, 3, -32]","[-17, 30, -40]","[-14, 15, -16]","[-26, 2, -11]","[-17, -4, -20]","[-19, -29, -26]","[-1, -25, 3]","[-11, -12, -9]",Evan_001_001
"[-36, 3, -26]","[-18, 28, -44]","[-14, 16, -17]","[-23, 0, -9]","[-16, -2, -18]","[-15, -23, -26]","[-1, -23, -1]","[-9, -10, -6]",Evan_001_001
"[-34, 0, -25]","[-18, 27, -49]","[-10, 16, -20]","[-25, -1, -9]","[-16, -5, -19]","[-15, -23, -21]","[0, -30, 0]","[-10, -9, -7]",Evan_001_001
"[-34, 0, -32]","[-21, 24, -44]","[-14, 17, -23]","[-23, 1, -12]","[-15, -3, -16]","[-16, -23, -21]","[0, -22, 0]","[-6, -5, -6]",Evan_001_001
"[-37, -2, -25]","[-17, 27, -39]","[-15, 15, -16]","[-27, 1, -10]","[-15, -1, -18]","[-14, -23, -18]","[0, -26, -2]","[-5, -12, -7]",Evan_001_001
"[-37, 0, -26]","[-23, 25, -39]","[-15, 18, -15]","[-28, 1, -8]","[-16, -4, -20]","[-14, -24, -31]","[-2, -26, 4]","[-5, -10, -10]",Evan_001_001
"[-35, -1, -29]","[-17, 26, -42]","[-13, 15, -19]","[-26, 2, -7]","[-18, -4, -18]","[-17, -24, -23]","[0, -24, -1]","[-7, -10, -8]",Evan_001_001
"[-35, 1, -27]","[-18, 28, -39]","[-13, 15, -20]","[-24, 0, -10]","[-16, -5, -17]","[-14, -24, -27]","[-1, -24, -3]","[-11, -11, -7]",Evan_001_001
"[-36, 0, -28]","[-22, 27, -37]","[-12, 15, -17]","[-26, -1, -5]","[-15, -3, -18]","[-17, -23, -26]","[-2, -24, 0]","[-8, -9, -6]",Evan_001_001
"[-37, 0, -26]","[-20, 27, -39]","[-15, 15, -19]","[-24, 3, -5]","[-15, 0, -17]","[-16, -23, -28]","[1, -26, -3]","[-8, -12, -7]",Evan_001_001
"[-36, 0, -27]","[-21, 29, -40]","[-12, 16, -19]","[-25, 3, -5]","[-17, -4, -16]","[-14, -22, -30]","[1, -27, -3]","[-7, -14, -11]",Evan_001_001
"[-37, 0, -27]","[-22, 29, -40]","[-18, 16, -12]","[-26, 3, -7]","[-17, -2, -23]","[-16, -23, -23]","[0, -24, -3]","[-12, -11, -11]",Evan_001_001
"[-41, 0, -20]","[-24, 29, -43]","[-16, 17, -19]","[-26, 0, -4]","[-17, -4, -21]","[-17, -22, -24]","[-2, -24, -1]","[-8, -9, -11]",Evan_001_001
"[-37, 0, -29]","[-22, 26, -42]","[-17, 16, -17]","[-27, 5, -9]","[-17, -2, -21]","[-17, -24, -23]","[-3, -22, 0]","[-10, -11, -7]",Evan_001_001
"[-36, 0, -26]","[-21, 28, -43]","[-18, 17, -15]","[-29, 0, -6]","[-16, -6, -21]","[-14, -20, -27]","[1, -24, 3]","[-9, -10, -6]",Evan_001_001
"[-39, 0, -30]","[-21, 28, -46]","[-15, 14, -22]","[-26, 0, -7]","[-15, -1, -17]","[-16, -25, -24]","[-1, -23, 0]","[-10, -10, -9]",Evan_001_001
"[-36, 0, -30]","[-22, 25, -46]","[-15, 18, -21]","[-27, -1, -10]","[-13, -4, -18]","[-19, -22, -26]","[-5, -24, -2]","[-6, -10, -10]",Evan_001_001
"[-38, 0, -33]","[-19, 23, -47]","[-15, 18, -25]","[-27, 0, -7]","[-16, -5, -19]","[-16, -26, -19]","[-1, -23, 0]","[-9, -12, -5]",Evan_001_001
"[-35, 1, -29]","[-20, 21, -46]","[-17, 16, -18]","[-23, -1, -13]","[-17, -3, -14]","[-19, -23, -20]","[0, -20, -4]","[-7, -12, -6]",Evan_001_001
"[-37, 0, -30]","[-18, 26, -39]","[-16, 18, -22]","[-26, 0, -10]","[-16, -6, -16]","[-15, -24, -23]","[0, -22, -2]","[-10, -11, -8]",Evan_001_001
"[-34, 0, -27]","[-21, 23, -46]","[-16, 15, -22]","[-26, 0, -13]","[-18, -4, -16]","[-16, -25, -24]","[-2, -22, 0]","[-7, -11, -2]",Evan_001_001
"[-37, -4, -30]","[-20, 24, -46]","[-17, 16, -21]","[-27, -1, -10]","[-16, -4, -14]","[-18, -24, -23]","[-2, -24, 0]","[-9, -11, -7]",Evan_001_001
"[-40, -2, -28]","[-22, 25, -45]","[-16, 14, -20]","[-26, 0, -12]","[-14, -4, -17]","[-17, -24, -20]","[-1, -22, -1]","[-12, -7, -4]",Evan_001_001
"[-38, 0, -24]","[-24, 24, -47]","[-17, 18, -23]","[-27, -2, -6]","[-21, -4, -21]","[-18, -27, -26]","[-1, -21, 0]","[-11, -11, -3]",Evan_001_001
"[-41, 0, -27]","[-26, 25, -47]","[-17, 18, -23]","[-28, 0, -3]","[-19, -5, -16]","[-17, -21, -21]","[-2, -21, 1]","[-12, -9, -8]",Evan_001_001
"[-24, -2, 7]","[-21, 5, -5]","[-13, -1, -2]","[-11, -6, 12]","[-12, -1, -16]","[-12, -15, -24]","[-2, -15, -3]","[-6, -8, -10]",Evan_001_001
"[-12, 0, 8]","[-10, 6, 1]","[-5, -3, -1]","[-6, -5, 8]","[-3, -1, -14]","[-4, -10, -4]","[6, -10, 2]","[-3, -5, 3]",Evan_001_001
"[-10, 0, -10]","[-7, 8, -4]","[-5, 2, -8]","[-4, -1, 0]","[-4, -2, -1]","[-3, -8, -1]","[3, -5, 4]","[0, -2, 1]",Evan_001_001
"[-13, 2, -5]","[-4, 11, -11]","[-6, 4, -1]","[-8, -1, 4]","[-1, 0, 3]","[-1, -3, 2]","[1, 0, 4]","[-1, -2, 3]",Evan_001_001
"[-10, 4, -4]","[-4, 12, -3]","[-4, 3, -5]","[-7, 6, 2]","[0, -2, 3]","[0, -7, 3]","[4, -3, 6]","[0, 0, 0]",Evan_001_001
"[-9, 2, 0]","[-4, 11, 0]","[0, 2, -1]","[-2, -1, -1]","[0, -1, -1]","[0, -8, 6]","[1, -3, 6]","[2, 1, 2]",Evan_001_001
"[-6, 5, -6]","[0, 11, 4]","[0, 0, 0]","[-2, 1, 3]","[-1, -1, -2]","[1, -5, 1]","[9, -2, 2]","[1, -1, 0]",Evan_001_001
"[-7, 3, 0]","[-3, 9, 2]","[-1, 3, 0]","[-2, 0, 2]","[-2, -3, 0]","[0, -5, -2]","[4, 0, 3]","[0, 0, 0]",Evan_001_001
"[-8, 5, 0]","[-4, 10, 0]","[0, 2, 2]","[-5, 2, 2]","[-1, -2, -3]","[2, -6, -1]","[7, -1, 3]","[1, -1, -8]",Evan_001_001
"[-4, 4, 0]","[-4, 7, 6]","[0, 0, 2]","[-1, 0, 2]","[-2, 0, -2]","[0, -9, -3]","[4, -5, 2]","[1, 0, -3]",Evan_001_001
"[-4, 6, 4]","[-2, 10, 6]","[0, 0, 10]","[0, 1, 8]","[-1, -1, -3]","[4, -6, -3]","[4, -7, 2]","[0, 0, -4]",Evan_001_001
"[-4, 2, -2]","[-2, 9, 0]","[0, 0, 3]","[-1, -1, 5]","[2, -1, -5]","[1, -8, -7]","[10, -5, 3]","[1, -1, -2]",Evan_001_001
"[-6, 5, 1]","[-3, 10, 9]","[0, 0, 0]","[-1, 0, 4]","[2, -2, 1]","[0, -8, -1]","[5, -5, 1]","[-1, -2, -3]",Evan_001_001
"[-6, 3, 0]","[1, 9, 5]","[2, -1, 6]","[0, -2, 2]","[1, 2, -4]","[-2, -10, 0]","[4, -4, 0]","[1, 0, -1]",Evan_001_001
"[-5, 2, 7]","[-1, 9, 9]","[5, -1, 6]","[-2, -2, 3]","[0, -2, -3]","[0, -4, -5]","[6, -3, 2]","[1, -2, -2]",Evan_001_001
"[-6, 3, 1]","[-3, 6, 9]","[1, -2, 4]","[3, -2, 7]","[0, -1, -1]","[1, -11, -7]","[6, -7, -3]","[3, -4, -6]",Evan_001_001
"[-6, 4, 0]","[-2, 9, 2]","[4, 1, 4]","[0, -2, 2]","[0, 0, -5]","[3, -13, 0]","[8, -4, -1]","[-1, -1, 0]",Evan_001_001
"[-3, 5, 1]","[1, 9, 4]","[2, -4, 4]","[-2, -2, 0]","[0, -2, -1]","[0, -9, -3]","[8, -4, 2]","[3, 0, 0]",Evan_001_001
"[-4, 4, 4]","[0, 8, 9]","[4, -2, 6]","[0, -1, 0]","[0, 0, -6]","[4, -10, 2]","[8, -4, 1]","[2, -2, -4]",Evan_001_001
"[0, 3, 5]","[0, 8, 6]","[3, 2, 2]","[0, 0, 4]","[-1, -2, 0]","[0, -8, -2]","[10, -3, -1]","[3, 0, 3]",Evan_001_001
"[-2, 3, 3]","[2, 7, 12]","[4, -2, 6]","[1, 0, 6]","[-2, -1, -1]","[1, -10, -1]","[7, -6, 0]","[-2, 0, -10]",Evan_001_001
"[0, 3, 3]","[2, 6, 8]","[4, -1, 2]","[0, 0, 5]","[2, 0, 0]","[5, -10, -2]","[9, -4, 2]","[1, -2, -4]",Evan_001_001
"[0, 4, 2]","[3, 10, 13]","[3, -3, 6]","[-1, 0, 2]","[0, -2, 0]","[4, -11, 0]","[8, -4, 1]","[3, 0, 0]",Evan_001_001
"[-1, 4, -1]","[1, 10, 11]","[2, 0, 3]","[-1, 0, 2]","[0, 0, 5]","[0, -9, 6]","[10, -1, 7]","[5, -2, 0]",Evan_001_001
"[0, 3, 0]","[5, 11, 9]","[1, 0, 4]","[0, -1, 2]","[0, 1, -2]","[3, -8, 1]","[13, -7, 1]","[4, -1, 3]",Evan_001_001
"[0, 6, 3]","[0, 8, 7]","[3, -1, 7]","[0, -1, 8]","[1, -1, -3]","[3, -11, -1]","[8, -8, 3]","[1, -2, 2]",Evan_001_001
"[0, 3, 3]","[2, 7, 7]","[3, 0, 0]","[1, -1, 5]","[0, 0, 2]","[3, -7, -1]","[8, -4, 3]","[1, -2, 0]",Evan_001_001
"[-2, 4, 1]","[1, 6, 7]","[0, 2, 7]","[0, 0, 1]","[0, -4, -3]","[2, -8, 0]","[8, -2, 10]","[0, -4, 0]",Evan_001_001
"[-4, 5, -1]","[0, 7, 6]","[3, -1, 7]","[1, -2, 4]","[-1, -4, -1]","[4, -6, 0]","[10, -4, 5]","[3, 0, 2]",Evan_001_001
"[-1, 6, 2]","[1, 4, 7]","[3, -1, -1]","[-4, -1, 4]","[-2, -2, 1]","[6, -8, 3]","[6, -6, 6]","[0, -1, -3]",Evan_001_001
"[-3, 4, 6]","[0, 6, 6]","[1, -2, 6]","[-1, -3, 1]","[2, -3, -1]","[0, -10, 0]","[8, -6, 2]","[-1, 0, -4]",Evan_001_001
"[-2, 3, 3]","[0, 8, 10]","[2, 1, 8]","[-2, -2, 3]","[2, 0, 0]","[4, -7, 0]","[9, -4, 3]","[2, -2, 3]",Evan_001_001
"[-4, 4, 4]","[0, 8, 6]","[-4, -2, 0]","[-4, -2, 4]","[0, -4, -4]","[0, -7, -4]","[10, -6, 2]","[1, -3, 0]",Evan_001_001
"[-15, -3, 14]","[-15, 1, 3]","[-5, -3, 1]","[-5, -6, 13]","[-8, 1, -10]","[-6, -10, -19]","[2, -9, -4]","[-5, 0, -4]",Evan_001_001
"[-18, -2, 21]","[-20, 9, 8]","[-10, -3, 16]","[-7, -3, 18]","[-12, -2, -25]","[-10, -15, -24]","[-3, -15, -13]","[-8, -7, -12]",Evan_001_001
"[-22, -2, 29]","[-24, 6, 8]","[-11, -8, 13]","[-7, -7, 24]","[-11, 4, -20]","[-9, -15, -31]","[-4, -16, -11]","[-10, -8, -14]",Evan_001_001
"[-24, 0, 10]","[-26, 14, -5]","[-12, 3, 3]","[-14, -6, 15]","[-13, 0, -21]","[-16, -17, -31]","[0, -22, -9]","[-7, -9, -11]",Evan_001_001
"[-36, -1, -13]","[-19, 22, -31]","[-15, 11, -11]","[-23, -1, -5]","[-13, -5, -21]","[-11, -24, -19]","[-2, -21, -8]","[-6, -11, -11]",Evan_001_001
"[-35, 0, -27]","[-17, 26, -37]","[-12, 14, -14]","[-21, 1, -6]","[-17, -7, -19]","[-15, -24, -26]","[2, -21, 3]","[-8, -12, -8]",Evan_001_001
"[-36, 1, -26]","[-21, 29, -45]","[-13, 14, -12]","[-27, 3, -5]","[-12, -5, -21]","[-14, -26, -26]","[0, -24, -1]","[-8, -14, -3]",Evan_001_001
"[-41, 7, -29]","[-20, 36, -40]","[-15, 19, -11]","[-25, 5, -5]","[-18, -4, -18]","[-17, -28, -31]","[-2, -29, -7]","[-11, -15, -12]",Evan_001_001
"[-45, 9, -32]","[-24, 40, -40]","[-18, 26, -11]","[-30, 8, -8]","[-17, -7, -18]","[-19, -27, -36]","[-1, -26, -13]","[-12, -15, -10]",Evan_001_001
"[-47, 8, -34]","[-22, 42, -51]","[-15, 23, -13]","[-32, 6, -6]","[-16, -5, -27]","[-21, -28, -31]","[-2, -28, -6]","[-13, -15, -13]",Evan_001_001
