Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-43, 0, -29]","[-24, 31, -41]","[-17, 18, -17]","[-27, 1, -5]","[-21, -6, -22]","[-19, -28, -26]","[-5, -26, -3]","[-11, -11, -11]",Evan_001_001
"[-38, 2, -21]","[-21, 31, -43]","[-16, 17, -19]","[-26, 1, -7]","[-18, -5, -20]","[-17, -23, -24]","[-3, -22, 0]","[-12, -11, -6]",Evan_001_001
"[-41, 5, -23]","[-22, 27, -46]","[-17, 18, -17]","[-26, 1, 0]","[-19, -4, -20]","[-21, -23, -27]","[-5, -26, -2]","[-10, -11, -7]",Evan_001_001
"[-36, 0, -25]","[-22, 28, -42]","[-18, 13, -11]","[-24, 3, -5]","[-16, -5, -18]","[-17, -24, -24]","[-3, -28, -3]","[-15, -12, -14]",Evan_001_001
"[-37, 1, -19]","[-23, 26, -40]","[-16, 16, -16]","[-25, 0, -5]","[-21, -6, -21]","[-15, -23, -24]","[-5, -24, 3]","[-9, -12, -11]",Evan_001_001
"[-36, 0, -25]","[-21, 30, -41]","[-15, 18, -14]","[-22, 0, -1]","[-16, -6, -18]","[-19, -23, -28]","[-2, -22, -5]","[-15, -10, -11]",Evan_001_001
"[-34, 0, -17]","[-21, 28, -39]","[-16, 15, -17]","[-25, 0, -4]","[-16, -4, -21]","[-16, -28, -28]","[-3, -24, 3]","[-10, -12, -11]",Evan_001_001
"[-38, 0, -21]","[-22, 26, -41]","[-15, 18, -13]","[-25, 0, -2]","[-17, -4, -21]","[-16, -24, -24]","[-3, -24, -4]","[-8, -12, -5]",Evan_001_001
"[-33, -3, -23]","[-17, 25, -42]","[-13, 15, -13]","[-24, 0, -5]","[-15, -4, -18]","[-17, -23, -23]","[-3, -22, -1]","[-10, -11, -6]",Evan_001_001
"[-34, 4, -22]","[-17, 27, -42]","[-16, 18, -16]","[-24, 0, -4]","[-18, -6, -18]","[-18, -26, -29]","[-4, -27, -2]","[-13, -9, -11]",Evan_001_001
"[-37, -1, -20]","[-21, 27, -40]","[-14, 13, -12]","[-23, -1, 0]","[-16, -8, -23]","[-17, -29, -24]","[-4, -24, -3]","[-13, -8, -11]",Evan_001_001
"[-35, 2, -10]","[-21, 24, -33]","[-13, 11, -10]","[-22, 1, 4]","[-18, -7, -18]","[-13, -23, -26]","[-2, -25, 0]","[-8, -8, -7]",Evan_001_001
"[-34, 0, -14]","[-23, 27, -34]","[-12, 11, -4]","[-22, -1, 2]","[-17, -5, -21]","[-18, -24, -30]","[-6, -25, -2]","[-8, -10, -9]",Evan_001_001
"[-36, 1, -12]","[-24, 27, -29]","[-13, 13, -13]","[-26, -2, 5]","[-16, -7, -28]","[-16, -27, -26]","[-3, -23, -13]","[-12, -9, -13]",Evan_001_001
"[-40, 0, -12]","[-23, 27, -30]","[-12, 12, -9]","[-22, 0, 6]","[-15, -4, -21]","[-19, -22, -28]","[-5, -25, -6]","[-11, -10, -12]",Evan_001_001
"[-37, 0, -15]","[-22, 23, -34]","[-15, 12, -10]","[-23, -1, -1]","[-17, -3, -19]","[-17, -25, -33]","[-5, -27, -3]","[-7, -13, -11]",Evan_001_001
"[-38, 0, -19]","[-25, 24, -37]","[-16, 16, -13]","[-24, 0, -3]","[-14, -6, -19]","[-16, -23, -28]","[-2, -26, -6]","[-11, -11, -7]",Evan_001_001
"[-34, 1, -18]","[-23, 22, -34]","[-16, 15, -13]","[-22, 0, 0]","[-17, -3, -20]","[-20, -23, -30]","[-3, -22, -4]","[-12, -11, -12]",Evan_001_001
"[-35, -1, -12]","[-21, 29, -30]","[-14, 13, -13]","[-20, 2, 0]","[-18, -2, -23]","[-18, -22, -25]","[-2, -22, -2]","[-9, -10, -12]",Evan_001_001
"[-36, -1, -15]","[-19, 24, -36]","[-16, 13, -13]","[-23, 0, 3]","[-16, -3, -15]","[-19, -23, -23]","[-1, -21, -5]","[-10, -14, -11]",Evan_001_001
"[-34, -1, -11]","[-21, 27, -35]","[-15, 14, -7]","[-23, 0, 0]","[-18, -6, -20]","[-16, -24, -28]","[-3, -21, 0]","[-11, -9, -14]",Evan_001_001
"[-38, -3, -16]","[-23, 24, -39]","[-14, 14, -15]","[-24, 2, -1]","[-16, -4, -18]","[-19, -23, -24]","[-4, -20, -3]","[-13, -7, -6]",Evan_001_001
"[-33, -2, -17]","[-22, 21, -34]","[-15, 12, -12]","[-19, -1, 0]","[-12, -3, -23]","[-13, -25, -24]","[-2, -23, -5]","[-10, -8, -13]",Evan_001_001
"[-37, 1, -16]","[-21, 25, -31]","[-14, 10, -10]","[-22, -1, 3]","[-14, -3, -19]","[-18, -25, -30]","[0, -21, -2]","[-10, -12, -7]",Evan_001_001
"[-31, 0, -10]","[-21, 22, -29]","[-10, 10, -9]","[-21, -1, 2]","[-16, -1, -20]","[-16, -22, -25]","[-3, -24, -5]","[-11, -11, -8]",Evan_001_001
"[-26, -1, -9]","[-18, 18, -24]","[-9, 5, -4]","[-16, -3, -3]","[-14, -1, -19]","[-11, -21, -22]","[-3, -20, -2]","[-11, -8, -8]",Evan_001_001
"[-32, -2, -7]","[-18, 20, -20]","[-11, 8, -5]","[-18, -2, 2]","[-13, -2, -17]","[-16, -21, -26]","[0, -24, 0]","[-10, -9, -8]",Evan_001_001
"[-30, -3, 0]","[-21, 20, -21]","[-12, 10, -10]","[-14, -1, 4]","[-12, -3, -21]","[-12, -21, -27]","[1, -21, -6]","[-6, -9, -12]",Evan_001_001
"[-15, -2, 8]","[-17, 6, 3]","[-5, -6, 2]","[-4, -7, 9]","[-8, -1, -17]","[-4, -18, -27]","[2, -17, -3]","[-6, -6, -8]",Evan_001_001
"[-1, 2, 11]","[4, 9, 14]","[5, -4, 10]","[1, -1, 8]","[-2, -8, -1]","[-1, -17, -7]","[8, -9, 6]","[1, -3, -1]",Evan_001_001
"[-2, 11, -6]","[9, 19, 4]","[9, 5, 8]","[1, 4, 2]","[4, -8, 10]","[6, -15, 25]","[14, 0, 21]","[5, -2, 9]",Evan_001_001
"[-3, 13, -9]","[12, 22, 5]","[11, 7, 9]","[-1, 6, 0]","[7, -9, 16]","[13, -15, 43]","[18, 3, 27]","[15, -2, 15]",Evan_001_001
"[-3, 14, -13]","[9, 21, 2]","[6, 7, 6]","[3, 6, -2]","[7, -8, 15]","[8, -9, 30]","[17, 3, 24]","[11, -2, 13]",Evan_001_001
"[-5, 10, -5]","[5, 21, 9]","[8, 8, 9]","[-1, 5, 2]","[5, -3, 6]","[6, -6, 16]","[12, 4, 16]","[3, 1, 7]",Evan_001_001
"[-1, 8, -3]","[4, 17, 10]","[5, 4, 6]","[0, 6, -1]","[4, -2, 5]","[2, -5, 13]","[6, 1, 9]","[3, 1, 9]",Evan_001_001
"[-8, 8, -5]","[0, 22, 0]","[5, 6, 12]","[0, 6, 7]","[0, -2, 3]","[0, -5, 8]","[6, 1, 13]","[0, 0, 2]",Evan_001_001
"[-4, 11, -10]","[-2, 17, 3]","[4, 7, 7]","[-3, 6, 0]","[0, -2, 5]","[1, -7, 5]","[5, 0, 4]","[2, 0, 4]",Evan_001_001
"[-6, 9, -5]","[-1, 18, 9]","[5, 5, 1]","[-5, 5, 4]","[-1, 0, 8]","[-2, -6, 6]","[3, 0, 4]","[2, 2, 2]",Evan_001_001
"[-7, 7, -2]","[-1, 13, 5]","[4, 7, 6]","[-1, 4, 3]","[0, 0, 1]","[0, -5, 5]","[6, -1, 0]","[3, 0, 3]",Evan_001_001
"[-7, 8, -4]","[-2, 18, 3]","[0, 5, 8]","[-1, 2, 2]","[0, 0, 1]","[-3, -4, 0]","[2, 0, 2]","[-2, -1, 1]",Evan_001_001
"[-5, 7, -3]","[-2, 17, 2]","[3, 1, 0]","[-3, 3, 6]","[-1, 3, 2]","[-1, -5, 5]","[5, 0, 2]","[-1, 0, 1]",Evan_001_001
"[-5, 4, -5]","[0, 14, 0]","[4, 5, 7]","[-3, 5, 6]","[-1, -2, -3]","[-1, -5, 5]","[1, 0, 5]","[0, -2, 3]",Evan_001_001
"[-3, 5, -3]","[-3, 16, 1]","[3, 4, 6]","[0, 2, 5]","[0, -3, 3]","[-1, -6, 2]","[4, -7, 0]","[1, 1, 1]",Evan_001_001
"[-6, 6, -6]","[-1, 12, 6]","[2, 0, 12]","[0, 2, 3]","[-2, 0, 1]","[-3, -5, 0]","[1, -3, 4]","[1, -2, 0]",Evan_001_001
"[-7, 7, -2]","[-1, 15, 1]","[5, 3, 3]","[-2, 6, 2]","[-1, 1, 0]","[0, -8, 2]","[6, -4, 4]","[0, -3, 6]",Evan_001_001
"[-3, 4, -5]","[-1, 14, -1]","[2, 4, 3]","[-2, 3, 3]","[-1, 0, -6]","[0, -8, -1]","[5, -4, 8]","[0, 0, 3]",Evan_001_001
"[-6, 5, -7]","[3, 12, 1]","[0, 2, 3]","[0, 2, 3]","[-1, -2, 0]","[0, -7, 0]","[3, -4, 5]","[0, -3, -3]",Evan_001_001
"[-8, 7, -5]","[2, 13, 1]","[1, 3, 4]","[-2, 2, 7]","[0, 2, 1]","[0, -4, 6]","[3, 0, 0]","[0, -2, 2]",Evan_001_001
"[-4, 3, -7]","[0, 13, 2]","[1, 4, 3]","[-2, 2, 2]","[-3, -3, 1]","[-1, -7, 3]","[4, 3, 1]","[4, 0, 2]",Evan_001_001
"[-9, 6, -4]","[0, 14, 2]","[0, 3, 1]","[-1, 0, 2]","[-3, 1, -4]","[-3, -4, 2]","[3, -1, 9]","[-4, -1, 5]",Evan_001_001
"[-5, 3, -2]","[-1, 14, -6]","[0, 5, 0]","[-1, 4, 0]","[-4, -2, 2]","[-1, -3, 0]","[4, -2, 5]","[0, 0, 3]",Evan_001_001
"[-9, 4, 0]","[-2, 17, -6]","[3, 5, 5]","[-2, 1, 5]","[-3, -2, 2]","[-3, -5, -1]","[2, -2, 6]","[0, 0, 3]",Evan_001_001
"[-6, 4, 0]","[0, 15, -3]","[4, 0, 0]","[-2, 5, 3]","[-3, 0, 0]","[-3, -3, -4]","[2, 0, 3]","[-1, 0, -3]",Evan_001_001
"[-8, 3, -2]","[-2, 14, -5]","[0, 2, 3]","[-3, -1, 6]","[0, -2, -1]","[-2, -8, -1]","[1, -5, 0]","[0, -1, 0]",Evan_001_001
"[-9, 6, -2]","[-3, 11, 1]","[0, 4, 5]","[-3, 1, 4]","[-1, 0, 3]","[-5, -4, -4]","[2, -3, -1]","[0, 0, -1]",Evan_001_001
"[-8, 3, -1]","[-4, 10, -4]","[-2, 4, 3]","[-2, 1, 2]","[0, 0, 2]","[0, -2, -5]","[1, -4, 1]","[0, 1, 5]",Evan_001_001
"[-8, 1, -2]","[-3, 10, -7]","[-3, 7, 2]","[-3, 0, 1]","[-3, 0, -6]","[-4, -4, -2]","[4, -3, -5]","[-2, -1, 2]",Evan_001_001
"[-6, 0, 0]","[-5, 10, -3]","[0, 3, 3]","[-3, 0, 2]","[-4, 0, 1]","[-3, -5, -1]","[1, -3, 1]","[-2, -1, 5]",Evan_001_001
"[-10, 3, -3]","[-6, 11, -7]","[-1, 3, -2]","[-1, 0, 0]","[-3, 0, -3]","[-6, -5, -3]","[-1, -2, 0]","[-2, -1, -2]",Evan_001_001
"[-9, 3, -1]","[-2, 8, -3]","[-1, 2, 3]","[-4, 0, 5]","[-3, 1, -5]","[-4, -4, -9]","[1, -1, -3]","[-3, 0, -10]",Evan_001_001
"[-3, 3, 0]","[-4, 10, 3]","[1, 0, 3]","[1, 0, 2]","[-4, 3, -3]","[-2, -8, 0]","[4, -4, -5]","[-1, 0, -1]",Evan_001_001
